epoch,train_loss
1,0.8636435541239652
2,0.8543092568249296
3,0.8401008164428196
4,0.7827828042318394
5,0.7071196085546723
6,0.6262132070980464
7,0.5383682736902992
8,0.4764141750650322
9,0.4332388355410344
10,0.40121953490892115
11,0.37485709506745213
12,0.3547341506327352
13,0.33904729805384215
14,0.3286408578370673
15,0.3213724941452228
16,0.3159420816255105
17,0.3109380330158469
18,0.3061202009402412
19,0.30135917370794807
20,0.29626514074389887
21,0.2890027725626646
22,0.28224851064318435
23,0.27247644292294454
24,0.26232038669921787
25,0.251961997396086
26,0.24025767373024892
27,0.23150580308654092
28,0.2248876026211596
29,0.21707776276247243
30,0.21194953530415062
31,0.20714631510619894
32,0.2031767592926529
33,0.1998562369703198
34,0.19604023412700272
35,0.19325371951826156
36,0.19076384009678693
37,0.1883706849210423
38,0.18619342974204123
39,0.18460798110605334
40,0.18169141082295226
41,0.18041564646529312
42,0.17794265976050033
43,0.17653153430331836
44,0.17471841637514904
45,0.1728235536481628
46,0.1725487741600733
47,0.169213328892884
48,0.16782052087381788
49,0.16692683799875097
50,0.16515596626091564
